Year,Country,Sport,Discipline,GoldCount,SilverCount,BronzeCount
1896,AUS,Athletics,Athletics,2,0,0
1896,AUT,Aquatics,Swimming,1,1,0
1896,AUT,Cycling,Cycling Track,1,0,2
1896,DEN,Fencing,Fencing,0,0,1
1896,DEN,Shooting,Shooting,0,1,2
1896,DEN,Weightlifting,Weightlifting,1,1,0
1896,FRA,Athletics,Athletics,0,1,1
1896,FRA,Cycling,Cycling Track,4,1,1
1896,FRA,Fencing,Fencing,1,2,0
1896,GBR,Athletics,Athletics,0,1,1
1896,GBR,Cycling,Cycling Road,0,0,1
1896,GBR,Cycling,Cycling Track,0,1,0
1896,GBR,Tennis,Tennis,1,0,0
1896,GBR,Weightlifting,Weightlifting,1,1,0
1896,GER,Athletics,Athletics,0,1,0
1896,GER,Cycling,Cycling Road,0,1,0
1896,GER,Gymnastics,Artistic G.,5,3,2
1896,GER,Wrestling,Wrestling Gre-R,1,0,0
1896,GRE,Aquatics,Swimming,1,3,3
1896,GRE,Athletics,Athletics,1,3,5
1896,GRE,Cycling,Cycling Road,1,0,0
1896,GRE,Cycling,Cycling Track,0,3,0
1896,GRE,Fencing,Fencing,2,1,1
1896,GRE,Gymnastics,Artistic G.,2,2,2
1896,GRE,Shooting,Shooting,3,3,3
1896,GRE,Tennis,Tennis,0,1,1
1896,GRE,Weightlifting,Weightlifting,0,0,2
1896,GRE,Wrestling,Wrestling Gre-R,0,1,1
1896,HUN,Aquatics,Swimming,2,0,0
1896,HUN,Athletics,Athletics,0,1,2
1896,HUN,Tennis,Tennis,0,0,1
1896,SUI,Gymnastics,Artistic G.,1,2,0
1896,USA,Athletics,Athletics,9,5,2
1896,USA,Shooting,Shooting,2,1,0
1896,ZZX,Tennis,Tennis,1,1,1
1900,AUS,Aquatics,Swimming,2,0,0
1900,AUS,Athletics,Athletics,0,0,3
1900,AUT,Aquatics,Swimming,0,3,1
1900,AUT,Fencing,Fencing,0,0,2
1900,BEL,Aquatics,Water polo,0,1,0
1900,BEL,Archery,Archery,3,2,1
1900,BEL,Equestrian,Jumping,2,1,1
1900,BEL,Football,Football,0,0,1
1900,BEL,Rowing,Rowing,0,1,0
1900,BEL,Shooting,Shooting,0,0,2
1900,BOH,Athletics,Athletics,0,1,0
1900,BOH,Tennis,Tennis,0,0,1
1900,CAN,Athletics,Athletics,1,0,1
1900,CUB,Fencing,Fencing,1,1,0
1900,DEN,Aquatics,Swimming,0,0,1
1900,DEN,Athletics,Athletics,0,0,1
1900,DEN,Shooting,Shooting,1,3,0
1900,ESP,Basque Pelota,Basque Pelota,1,0,0
1900,FRA,Aquatics,Swimming,1,2,2
1900,FRA,Aquatics,Water polo,0,0,1
1900,FRA,Archery,Archery,3,5,4
1900,FRA,Athletics,Athletics,1,4,2
1900,FRA,Basque Pelota,Basque Pelota,0,1,0
1900,FRA,Cricket,Cricket,0,1,0
1900,FRA,Croquet,Croquet,3,2,2
1900,FRA,Cycling,Cycling Track,2,2,1
1900,FRA,Equestrian,Jumping,1,0,2
1900,FRA,Fencing,Fencing,5,5,5
1900,FRA,Football,Football,0,1,0
1900,FRA,Gymnastics,Artistic G.,1,1,1
1900,FRA,Rowing,Rowing,2,3,1
1900,FRA,Rugby,Rugby,1,0,0
1900,FRA,Sailing,Sailing,1,3,2
1900,FRA,Shooting,Shooting,3,4,3
1900,FRA,Tennis,Tennis,0,1,1
1900,FRA,Tug of War,Tug of War,0,1,0
1900,GBR,Aquatics,Swimming,2,0,1
1900,GBR,Aquatics,Water polo,1,0,0
1900,GBR,Athletics,Athletics,3,3,2
1900,GBR,Cricket,Cricket,1,0,0
1900,GBR,Football,Football,1,0,0
1900,GBR,Golf,Golf,0,1,1
1900,GBR,Rowing,Rowing,0,0,1
1900,GBR,Rugby,Rugby,0,1,0
1900,GBR,Sailing,Sailing,3,0,1
1900,GBR,Tennis,Tennis,5,1,2
1900,GER,Aquatics,Swimming,2,0,0
1900,GER,Rowing,Rowing,1,0,1
1900,GER,Rugby,Rugby,0,1,0
1900,GER,Sailing,Sailing,0,1,0
1900,HUN,Aquatics,Swimming,0,2,1
1900,HUN,Athletics,Athletics,1,0,1
1900,IND,Athletics,Athletics,0,2,0
1900,ITA,Equestrian,Jumping,1,1,0
1900,ITA,Fencing,Fencing,1,1,0
1900,NED,Aquatics,Swimming,0,0,1
1900,NED,Rowing,Rowing,0,1,1
1900,NED,Shooting,Shooting,0,0,1
1900,NOR,Athletics,Athletics,0,0,1
1900,NOR,Shooting,Shooting,0,2,2
1900,SUI,Shooting,Shooting,5,1,1
1900,SWE,Athletics,Athletics,0,0,1
1900,USA,Athletics,Athletics,16,13,10
1900,USA,Cycling,Cycling Track,0,0,1
1900,USA,Golf,Golf,2,1,1
1900,USA,Rowing,Rowing,1,0,0
1900,USA,Sailing,Sailing,0,0,1
1900,USA,Tennis,Tennis,0,0,1
1900,ZZX,Athletics,Athletics,1,0,0
1900,ZZX,Polo,Polo,1,1,1
1900,ZZX,Rowing,Rowing,1,0,0
1900,ZZX,Tennis,Tennis,0,3,2
1900,ZZX,Tug of War,Tug of War,1,0,0
1904,AUT,Aquatics,Swimming,0,0,1
1904,CAN,Athletics,Athletics,1,0,0
1904,CAN,Football,Football,1,0,0
1904,CAN,Golf,Golf,1,0,0
1904,CAN,Lacrosse,Lacrosse,1,0,0
1904,CAN,Rowing,Rowing,0,1,0
