Year,Country,Sport,GoldCount,SilverCount,BronzeCount
1896,AUS,Athletics,2,0,0
1896,AUT,Aquatics,1,1,0
1896,AUT,Cycling,1,0,2
1896,DEN,Fencing,0,0,1
1896,DEN,Shooting,0,1,2
1896,DEN,Weightlifting,1,1,0
1896,FRA,Athletics,0,1,1
1896,FRA,Cycling,4,1,1
1896,FRA,Fencing,1,2,0
1896,GBR,Athletics,0,1,1
1896,GBR,Cycling,0,1,1
1896,GBR,Tennis,1,0,0
1896,GBR,Weightlifting,1,1,0
1896,GER,Athletics,0,1,0
1896,GER,Cycling,0,1,0
1896,GER,Gymnastics,5,3,2
1896,GER,Wrestling,1,0,0
1896,GRE,Aquatics,1,3,3
1896,GRE,Athletics,1,3,5
1896,GRE,Cycling,1,3,0
1896,GRE,Fencing,2,1,1
1896,GRE,Gymnastics,2,2,2
1896,GRE,Shooting,3,3,3
1896,GRE,Tennis,0,1,1
1896,GRE,Weightlifting,0,0,2
1896,GRE,Wrestling,0,1,1
1896,HUN,Aquatics,2,0,0
1896,HUN,Athletics,0,1,2
1896,HUN,Tennis,0,0,1
1896,SUI,Gymnastics,1,2,0
1896,USA,Athletics,9,5,2
1896,USA,Shooting,2,1,0
1896,ZZX,Tennis,1,1,1
1900,AUS,Aquatics,2,0,0
1900,AUS,Athletics,0,0,3
1900,AUT,Aquatics,0,3,1
1900,AUT,Fencing,0,0,2
1900,BEL,Aquatics,0,1,0
1900,BEL,Archery,3,2,1
1900,BEL,Equestrian,2,1,1
1900,BEL,Football,0,0,1
1900,BEL,Rowing,0,1,0
1900,BEL,Shooting,0,0,2
1900,BOH,Athletics,0,1,0
1900,BOH,Tennis,0,0,1
1900,CAN,Athletics,1,0,1
1900,CUB,Fencing,1,1,0
1900,DEN,Aquatics,0,0,1
1900,DEN,Athletics,0,0,1
1900,DEN,Shooting,1,3,0
1900,ESP,Basque Pelota,1,0,0
1900,FRA,Aquatics,1,2,3
1900,FRA,Archery,3,5,4
1900,FRA,Athletics,1,4,2
1900,FRA,Basque Pelota,0,1,0
1900,FRA,Cricket,0,1,0
