CountryCode,1960,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012
AFG,8996351,9731361,10604346,11721940,12840299,13248370,12047115,11540888,13981231,17822884,20093756,24118979,27294031,30696958
ALG,11124888,12295970,13744387,15377093,17190239,19337715,21893853,24591492,27181094,29411415,31183660,32831096,34860715,37565847
ARG,20619075,21953929,23261278,24782949,26477152,28105888,29920904,31795517,33655151,35419682,37057452,38728696,40382389,42096739
ARM,1874120,2144998,2401140,2650484,2889579,3099751,3285595,3504651,3442810,3168215,3069588,3000612,2908220,2881922
ANZ,12648277,13752400,14757100,16080900,17143500,17804900,18771100,19815600,21026700,22043000,23010700,24214900,25509000,27136354
AUS,10276477,11167000,12009000,13177000,14033000,14692000,15544000,16532200,17495000,18311000,19153000,20127400,21249200,22728254
AUT,7047539,7223801,7415403,7544201,7565525,7549433,7561434,7585317,7840709,7959017,8011566,8171966,8321496,8429991
AZE,3895396,4456689,4960235,5385267,5768724,6150738,6557585,7010036,7382000,7763000,8048600,8306500,8763400,9295784
BAH,98418,109528,133698,158627,177839,192902,210661,230015,247579,275895,290060,309157,335830,360832
BRN,162427,182887,200653,229155,283752,359888,407227,465202,523087,578668,664614,829848,1114590,1300217
BAR,230939,234547,237199,241441,247444,252194,255193,258527,262184,265942,269847,273091,277319,281585
BLR,8198000,8524224,8874552,9188968,9411000,9643000,9910000,10140000,10216000,10160000,9979610,9730146,9527985,9464495
BEL,9153489,9378113,9618756,9711115,9711115,9859242,9855372,9901664,10045158,10156637,10251250,10421137,10709973,11128246
BER,44400,48900,53000,54200,53200,54670,56423,58347,58595,60129,61833,63740,65273,64798
BOH,9602006,9727804,9876346,9867632,10125939,10304193,10330213,10355276,10319123,10315241,10255063,10197101,10384603,10510785
BOT,524552,580799,652843,742835,857855,1001158,1151292,1301818,1455833,1604060,1728340,1829330,1946351,2089315
BRA,72207554,81168654,90557064,100143598,110213082,121159761,132800684,144001542,154564278,164913306,175287587,184738458,192979029,200560983
BWI,2707670,2868308,2994300,3145010,3328187,3500547,3719835,3856954,3965033,4086299,4194695,4292403,4382813,4464165
BUL,7867374,8144340,8369603,8576200,8758599,8861535,8960679,8981446,8540164,8362826,8170172,7716860,7492561,7305888
BDI,2786106,3010859,3316233,3544047,3739659,4116817,4571292,5135956,5661139,6041112,6400706,7182451,8212264,9319710
CMR,5176268,5646316,6208282,6875228,7669445,8618354,9742263,11031817,12408931,13812472,15274234,16959081,18907008,21082383
CAN,17909009,19325000,20744000,21993631,23518000,24593000,25702000,26895000,28519597,29671900,30769700,31995000,33245773,34750545
CHI,7716625,8430838,9188822,9922558,10601836,11266226,11985658,12809025,13671033,14497826,15262754,15973778,16661942,17309746
